Tempo,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17
1.5600000000000012,0,211,1,307,0,1,0,0,160,0,0,0,9488,2600,-11632,-84,81,-111
1.5700000000000012,14,509,0,498,1,0,0,1,162,23,0,1,9456,2432,-11708,-128,92,-93
1.5800000000000012,35,521,1,528,0,1,0,1,161,54,1,0,9424,1992,-11416,-97,89,-97
1.5900000000000012,71,453,1,535,0,1,0,1,161,76,0,1,9456,2496,-11568,-62,104,-92
1.6000000000000012,62,337,1,485,0,0,1,1,161,83,1,0,9632,2472,-11720,-125,125,-131
1.6100000000000012,73,447,0,533,1,1,0,1,162,77,1,0,9388,2264,-11704,-78,116,-112
1.6200000000000012,74,445,0,528,0,1,1,1,161,78,1,0,9488,2640,-11484,-132,59,-105
1.6300000000000012,76,443,0,529,0,0,1,1,162,79,1,1,9428,2312,-11692,-99,126,-113
1.6400000000000012,76,440,1,529,0,1,0,1,161,79,1,1,9284,2220,-11624,-75,90,-94
1.6500000000000012,58,244,1,407,0,1,0,2,162,69,0,1,9488,2496,-11672,-71,87,-116
1.6600000000000013,51,174,1,356,0,0,1,1,161,54,1,0,9524,2420,-11696,-105,119,-83
1.6700000000000013,50,184,0,349,0,1,1,0,162,53,0,1,9368,2304,-11488,-96,103,-96
1.6800000000000013,26,118,1,306,0,1,0,0,162,32,1,0,9376,2248,-11708,-69,92,-84
1.6900000000000013,0,90,1,263,0,1,0,1,161,0,0,1,9504,2568,-11816,-102,84,-99
1.7000000000000013,0,262,0,317,0,1,0,0,161,0,1,1,9456,2252,-11588,-98,100,-103
1.7100000000000013,0,468,1,485,0,1,0,0,161,0,1,1,9312,2208,-11652,-84,107,-95
1.7200000000000013,62,495,0,524,1,1,0,1,161,72,0,1,9412,2436,-11632,-94,120,-86
1.7300000000000013,81,420,1,532,0,1,1,1,161,81,1,0,9420,2364,-11628,-118,107,-109
1.7400000000000013,63,489,1,528,1,0,0,1,161,70,0,1,9444,2240,-11588,-78,82,-92
1.7500000000000013,60,297,1,446,0,1,0,1,161,82,1,1,9496,2380,-11692,-75,67,-107
1.7600000000000013,55,221,1,389,0,1,0,1,161,64,1,0,9464,2372,-11596,-100,95,-95
1.7700000000000014,46,149,1,340,0,1,1,1,161,48,1,0,9372,2244,-11784,-99,81,-105
1.7800000000000014,17,101,1,294,0,1,1,0,161,25,1,0,9384,2280,-11560,-84,90,-98
1.7900000000000014,0,99,1,263,0,1,0,1,161,0,0,1,9436,2328,-11608,-92,100,-94
1.8000000000000014,0,304,0,344,0,0,0,0,161,0,0,0,9448,2364,-11680,-91,96,-113
1.8100000000000014,32,526,1,527,1,1,0,1,161,46,1,0,9500,2272,-11604,-91,112,-92
1.8200000000000014,45,511,1,529,0,1,1,1,161,65,1,0,9428,2404,-11752,-104,77,-87
1.8300000000000014,71,478,1,533,0,1,1,1,161,73,1,0,9336,2316,-11516,-111,103,-92
1.8400000000000014,71,473,0,526,0,0,0,1,161,74,1,0,9568,2288,-11652,-78,91,-108
1.8500000000000014,73,372,1,506,0,1,1,1,161,84,1,0,9360,2396,-11412,-73,100,-113
1.8600000000000014,71,366,1,496,0,1,0,1,161,83,1,1,9480,2388,-11532,-89,100,-98
1.8700000000000014,60,269,1,425,0,1,1,1,161,75,1,0,9356,2348,-11480,-80,104,-112
1.8800000000000014,58,265,0,416,0,0,1,1,161,73,1,1,9392,2368,-11616,-120,106,-90
1.8900000000000015,58,262,0,415,0,0,1,0,162,71,0,1,9424,2352,-11688,-96,67,-101
1.9000000000000015,53,192,1,369,0,0,1,1,161,57,1,0,9448,2332,-11560,-90,90,-102
1.9100000000000015,35,126,1,319,0,1,1,1,161,39,1,0,9256,2376,-11652,-87,113,-97
1.9200000000000015,0,86,1,278,0,0,0,1,161,14,1,0,9380,2340,-11624,-95,106,-109
1.9300000000000015,0,114,1,266,0,1,0,1,161,0,0,1,9496,2380,-11476,-88,101,-94
1.9400000000000015,0,231,1,305,1,1,0,0,161,0,0,1,9460,2288,-11480,-88,101,-74
1.9500000000000015,24,522,1,511,1,1,0,1,161,32,0,1,9388,2316,-11708,-101,81,-93
1.9600000000000015,39,521,1,528,0,0,1,1,161,59,1,0,9460,2300,-11568,-107,84,-119
1.9700000000000015,37,518,0,522,0,1,0,1,161,59,0,0,9404,2380,-11528,-90,93,-99
1.9800000000000015,78,438,1,535,0,1,0,1,162,79,0,1,9384,2384,-11732,-88,123,-80
1.9900000000000015,61,316,1,463,0,1,1,1,161,83,1,0,9408,2324,-11620,-96,85,-89
2.0000000000000013,50,166,1,354,0,1,0,0,161,53,0,1,9368,2312,-11712,-96,120,-107
2.010000000000001,48,179,0,344,0,0,1,1,161,52,1,1,9464,2328,-11640,-63,96,-98
2.020000000000001,0,58,1,264,0,1,0,1,161,6,0,1,9388,2360,-11620,-93,102,-97
2.0300000000000007,0,188,1,290,1,0,0,1,161,0,1,1,9404,2404,-11520,-78,91,-101
2.0400000000000005,0,493,1,489,1,0,0,0,161,0,0,1,9436,2332,-11688,-88,90,-96
2.0500000000000003,81,419,0,525,2,0,0,1,162,81,0,1,9424,2412,-11656,-87,92,-98
2.06,55,222,1,391,0,2,0,1,162,66,0,1,9488,2288,-11564,-78,114,-91
2.07,46,153,1,342,0,1,1,1,162,48,1,0,9380,2380,-11508,-90,92,-99
2.0799999999999996,0,58,1,260,0,1,0,0,161,3,0,1,9392,2300,-11684,-75,80,-100
2.0899999999999994,0,196,0,294,1,0,0,0,161,0,0,0,9480,2312,-11616,-78,98,-105
2.099999999999999,0,498,1,492,1,0,0,0,161,8,0,1,9464,2324,-11520,-103,77,-95
2.109999999999999,69,483,1,533,1,0,1,2,161,75,1,1,9416,2208,-11652,-85,88,-100
2.1199999999999988,75,389,1,516,0,1,1,1,162,86,1,0,9480,2364,-11572,-99,110,-90
2.1299999999999986,60,281,1,433,0,1,0,1,161,78,1,0,9392,2356,-11632,-96,101,-109
2.1399999999999983,59,277,0,423,0,1,0,1,162,77,1,1,9296,2296,-11528,-87,113,-93
2.149999999999998,53,204,1,377,0,1,0,1,161,61,1,0,9324,2388,-11604,-95,97,-106
2.159999999999998,39,135,1,327,0,1,1,1,161,43,1,1,9404,2288,-11740,-109,98,-85
2.1699999999999977,5,94,1,283,0,1,0,1,162,17,1,0,9344,2328,-11560,-100,84,-109
2.1799999999999975,0,109,1,265,0,1,0,0,161,0,0,2,9364,2380,-11564,-106,90,-112
2.1899999999999973,0,171,1,288,0,1,0,0,161,0,0,1,9356,2372,-11568,-102,101,-86
2.199999999999997,0,327,1,375,0,1,0,0,161,0,0,1,9480,2408,-11456,-84,85,-102
2.209999999999997,35,523,1,528,1,0,0,1,161,55,1,1,9472,2484,-11536,-67,109,-91
2.2199999999999966,51,505,1,529,1,1,1,1,161,66,1,0,9396,2444,-11596,-92,91,-97
2.2299999999999964,60,334,1,483,0,2,0,1,162,85,1,1,9452,2364,-11724,-112,107,-98
2.239999999999996,62,329,0,473,0,1,1,1,161,86,1,1,9392,2328,-11564,-98,83,-117
2.249999999999996,55,250,1,411,0,0,0,1,162,69,1,0,9388,2288,-11580,-70,101,-101
2.259999999999996,57,246,0,403,0,1,1,1,162,68,1,1,9372,2300,-11568,-101,115,-99
2.2699999999999956,56,243,0,402,0,1,1,1,162,68,1,1,9316,2308,-11516,-101,114,-91
2.2799999999999954,56,242,0,399,0,1,1,1,162,69,0,1,9432,2352,-11588,-80,110,-93
2.289999999999995,49,172,1,356,0,0,1,1,162,52,1,0,9500,2376,-11540,-83,98,-96
2.299999999999995,0,49,1,269,0,1,0,1,162,7,0,1,9448,2324,-11588,-90,131,-94
2.3099999999999947,0,180,0,288,1,0,0,1,162,0,1,1,9432,2272,-11368,-70,76,-91
2.3199999999999945,29,545,1,512,1,1,0,1,162,39,0,1,9476,2376,-11576,-89,99,-89
2.3299999999999943,61,496,1,532,0,1,0,1,162,70,0,1,9360,2248,-11548,-100,94,-101
